iter	Passed	Remaining
0	0	77
1	1	73
2	2	69
3	2	63
4	3	64
5	4	64
6	4	65
7	5	65
8	6	64
9	7	63
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	51
25	18	51
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	41
40	28	40
41	28	39
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	34	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	44	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
